segment;time;userDifficulty;edaDifficulty;segDifficulty;totalDifficulty;totalLevelDifficulty
1;0;0,3251339;0;0;0
2;0;0,3251339;0;0;0
3;0;0,3251339;0;0;0
4;0;0,3251339;0;0;0
1;31,24857;0,3251339;0;0;0
1;46,32772;0,3071971;0;0;0
1;52,00732;0,2804129;0;0;0
1;60,44687;0,2440457;0;0;0
2;88,30682;0,2088141;0;0;0
2;93,14862;0,155963;0;0;0
2;98,34805;0,09457904;0;0;0
2;108,9072;0,06818187;0;0;0
3;130,5441;0,06818187;0;0;0
3;136,4661;0,06818187;0;0;0
3;141,3072;0,06818187;0;0;0
3;159,6452;0,06818187;0;0;0
4;176,2284;0,06818187;0;0;0
4;182,9069;0,06818187;0;0;0
