segment;time;userDifficulty;edaDifficulty;segDifficulty;totalDifficulty;totalLevelDifficulty
1;0;0,2542752;0;0;0
2;0;0,2542752;0;0;0
3;0;0,2542752;0;0;0
4;0;0,2542752;0;0;0
1;20,74234;0,2500001;0;0;0
2;64,08527;0,2500001;0;0;0
2;78,12523;0,2500001;0;0;0
2;93,96058;0,2500001;0;0;0
2;103,8252;0,2500001;0;0;0
2;117,2836;0,2500001;0;0;0
2;123,4835;0,2500001;0;0;0
2;130,1401;0,2500001;0;0;0
2;140,744;0,2500001;0;0;0
2;157,7639;0,2500001;0;0;0
3;182,8648;0,2500001;0;0;0
3;197,1652;0,2500001;0;0;0
4;247,0853;0,2500001;0;0;0
4;253,285;0,2500001;0;0;0
4;259,8641;0,2500001;0;0;0
4;266,1638;0,2500001;0;0;0
4;270,5226;0,2500001;0;0;0
4;275,5439;0,2500001;0;0;0
4;281,9651;0,2500001;0;0;0
4;290,8053;0,2500001;0;0;0
4;295,4026;0,2500001;0;0;0
4;299,3055;0,2500001;0;0;0
4;303,5442;0,2500001;0;0;0
4;312,2037;0,2500001;0;0;0
4;317,0684;0,2500001;0;0;0
4;320,5439;0,2500001;0;0;0
4;332,9662;0,2500001;0;0;0
